Date,Prev Close,Open,High,Low,Close,Change,Deals,Volume,Value
23/04/2018,1422.50,1422.50,1422.50,1422.50,1422.50,,16.00,10011.00,14947182.70
24/04/2018,1422.50,1493.60,1493.60,1493.60,1493.60,71.10,24.00,61864.00,92400070.40
25/04/2018,1493.60,1568.20,1568.20,1568.20,1568.20,74.60,25.00,22322.00,34954752.70
26/04/2018,1568.20,1568.20,1568.20,1568.20,1568.20,,132.00,197703.00,318628681.90
27/04/2018,1568.20,1615.00,1615.00,1615.00,1615.00,46.80,70.00,109225.00,174885455.40
30/04/2018,1615.00,1600.00,1600.00,1599.00,1599.00,-16.00,68.00,282908.00,452900063.10
02/05/2018,1599.00,1570.00,1570.00,1570.00,1570.00,-29.00,137.00,244465.00,388531326.70
03/05/2018,1570.00,1590.00,1590.10,1590.00,1590.10,20.10,32.00,235152.00,374275053.40
04/05/2018,1590.10,1615.00,1610.00,1595.00,1595.00,4.90,41.00,79279.00,127045055.50
07/05/2018,1567.50,1567.50,1567.50,1567.50,1567.50,,47.00,32352.00,50261825.50
08/05/2018,1567.50,1567.50,1567.50,1567.50,1567.50,,31.00,9042.00,13668620.90
09/05/2018,1567.50,1540.00,1570.00,1540.00,1570.00,2.50,51.00,132493.00,205408793.10
10/05/2018,1570.00,1570.00,1570.00,1570.00,1570.00,,26.00,20368.00,32136267.00
11/05/2018,1570.00,1580.00,1580.00,1580.00,1580.00,10.00,26.00,112777.00,177624228.30
14/05/2018,1580.00,1560.00,1560.00,1530.00,1530.00,-50.00,58.00,110444.00,168873394.00
15/05/2018,1530.00,1573.00,1573.00,1573.00,1573.00,43.00,50.00,325234.00,510690344.60
16/05/2018,1573.00,1590.00,1600.00,1590.00,1600.00,27.00,62.00,663804.00,1061483163.60
17/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,41.00,504300.00,806756340.00
18/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,22.00,16726.00,26919015.00
21/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,47.00,166890.00,266952446.90
22/05/2018,1600.00,1580.00,1600.00,1580.00,1600.00,,36.00,127390.00,202894403.90
23/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,46.00,1351167.00,2161895323.40
24/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,77.00,60581.00,96817278.10
25/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,79.00,65180.00,103901289.60
28/05/2018,1600.00,1600.00,1600.00,1600.00,1600.00,,80.00,93116.00,148789871.20
30/05/2018,1600.00,1560.00,1560.00,1540.00,1540.00,-60.00,91.00,482269.00,750764923.60
31/05/2018,1540.00,1540.00,1540.00,1472.50,1472.50,-67.50,66.00,228488.00,341738577.80
01/06/2018,1472.50,1472.50,1472.50,1430.00,1430.00,-42.50,71.00,181358.00,264332664.10
04/06/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,90.00,596876.00,852670248.70
05/06/2018,1430.00,1430.00,1430.00,1430.00,1430.00,,43.00,22708.00,32935758.00
